symbol,company,close,change,percent
TAXI,"{'symbol': 'TAXI', 'name': 'Express Transindo Utama Tbk.', 'logo': 'https://s3.goapi.io/logo/TAXI.jpg'}",2,1,100.0
MKNT,"{'symbol': 'MKNT', 'name': 'Mitra Komunikasi Nusantara Tbk.', 'logo': 'https://s3.goapi.io/logo/MKNT.jpg'}",2,1,100.0
SBAT,"{'symbol': 'SBAT', 'name': 'Sejahtera Bintang Abadi Textile Tbk.', 'logo': 'https://s3.goapi.io/logo/SBAT.jpg'}",2,1,100.0
DADA,"{'symbol': 'DADA', 'name': 'Diamond Citra Propertindo Tbk.', 'logo': 'https://s3.goapi.io/logo/DADA.jpg'}",5,1,25.0
UANG,"{'symbol': 'UANG', 'name': 'Pakuan Tbk.', 'logo': 'https://s3.goapi.io/logo/UANG.jpg'}",555,111,25.0
CAMP,"{'symbol': 'CAMP', 'name': 'Campina Ice Cream Industry Tbk.', 'logo': 'https://s3.goapi.io/logo/CAMP.jpg'}",352,70,24.82
GTRA,"{'symbol': 'GTRA', 'name': 'Grahaprima Suksesmandiri Tbk.', 'logo': 'https://s3.goapi.io/logo/GTRA.jpg'}",122,23,23.23
ELTY,"{'symbol': 'ELTY', 'name': 'Bakrieland Development Tbk.', 'logo': 'https://s3.goapi.io/logo/ELTY.jpg'}",8,1,14.29
CGAS,"{'symbol': 'CGAS', 'name': 'Citra Nusantara Gemilang Tbk.', 'logo': 'https://s3.goapi.io/logo/CGAS.jpg'}",125,14,12.61
MBTO,"{'symbol': 'MBTO', 'name': 'Martina Berto Tbk.', 'logo': 'https://s3.goapi.io/logo/MBTO.jpg'}",89,9,11.25
AKKU,"{'symbol': 'AKKU', 'name': 'Anugerah Kagum Karya Utama Tbk.', 'logo': 'https://s3.goapi.io/logo/AKKU.jpg'}",10,1,11.11
LAND,"{'symbol': 'LAND', 'name': 'Trimitra Propertindo Tbk.', 'logo': 'https://s3.goapi.io/logo/LAND.jpg'}",10,1,11.11
SOUL,"{'symbol': 'SOUL', 'name': 'Mitra Tirta Buwana Tbk.', 'logo': 'https://s3.goapi.io/logo/SOUL.jpg'}",10,1,11.11
KOTA,"{'symbol': 'KOTA', 'name': 'DMS Propertindo Tbk.', 'logo': 'https://s3.goapi.io/logo/KOTA.jpg'}",11,1,10.0
BHIT,"{'symbol': 'BHIT', 'name': 'MNC Asia Holding Tbk.', 'logo': 'https://s3.goapi.io/logo/BHIT.jpg'}",22,2,10.0
FLMC,"{'symbol': 'FLMC', 'name': 'Falmaco Nonwoven Industri Tbk.', 'logo': 'https://s3.goapi.io/logo/FLMC.jpg'}",55,5,10.0
FISH,"{'symbol': 'FISH', 'name': 'FKS Multi Agro Tbk.', 'logo': 'https://s3.goapi.io/logo/FISH.jpg'}",6100,550,9.91
UDNG,"{'symbol': 'UDNG', 'name': 'Agro Bahari Nusantara Tbk.', 'logo': 'https://s3.goapi.io/logo/UDNG.jpg'}",73,6,8.96
HALO,"{'symbol': 'HALO', 'name': 'Haloni Jane Tbk.', 'logo': 'https://s3.goapi.io/logo/HALO.jpg'}",49,4,8.89
ENZO,"{'symbol': 'ENZO', 'name': 'Morenzo Abadi Perkasa Tbk.', 'logo': 'https://s3.goapi.io/logo/ENZO.jpg'}",25,2,8.7
BCAP,"{'symbol': 'BCAP', 'name': 'MNC Kapital Indonesia Tbk.', 'logo': 'https://s3.goapi.io/logo/BCAP.jpg'}",25,2,8.7
MYTX,"{'symbol': 'MYTX', 'name': 'Asia Pacific Investama Tbk.', 'logo': 'https://s3.goapi.io/logo/MYTX.jpg'}",51,4,8.51
FREN,"{'symbol': 'FREN', 'name': 'Smartfren Telecom Tbk.', 'logo': 'https://s3.goapi.io/logo/FREN.jpg'}",39,3,8.33
KLIN,"{'symbol': 'KLIN', 'name': 'Klinko Karya Imaji Tbk.', 'logo': 'https://s3.goapi.io/logo/KLIN.jpg'}",13,1,8.33
AIMS,"{'symbol': 'AIMS', 'name': 'Akbar Indo Makmur Stimec Tbk', 'logo': 'https://s3.goapi.io/logo/AIMS.jpg'}",390,28,7.73
DATA,"{'symbol': 'DATA', 'name': 'Remala Abadi Tbk.', 'logo': 'https://s3.goapi.io/logo/DATA.jpg'}",330,22,7.14
BKSL,"{'symbol': 'BKSL', 'name': 'Sentul City Tbk.', 'logo': 'https://s3.goapi.io/logo/BKSL.jpg'}",31,2,6.9
SKLT,"{'symbol': 'SKLT', 'name': 'Sekar Laut Tbk.', 'logo': 'https://s3.goapi.io/logo/SKLT.jpg'}",250,16,6.84
LMAX,"{'symbol': 'LMAX', 'name': 'Lupromax Pelumas Indonesia Tbk.', 'logo': 'https://s3.goapi.io/logo/LMAX.jpg'}",16,1,6.67
WGSH,"{'symbol': 'WGSH', 'name': 'Wira Global Solusi Tbk.', 'logo': 'https://s3.goapi.io/logo/WGSH.jpg'}",66,4,6.45
SMKM,"{'symbol': 'SMKM', 'name': 'Sumber Mas Konstruksi Tbk.', 'logo': 'https://s3.goapi.io/logo/SMKM.jpg'}",50,3,6.38
MINA,"{'symbol': 'MINA', 'name': 'Sanurhasta Mitra Tbk.', 'logo': 'https://s3.goapi.io/logo/MINA.jpg'}",17,1,6.25
ESIP,"{'symbol': 'ESIP', 'name': 'Sinergi Inti Plastindo Tbk.', 'logo': 'https://s3.goapi.io/logo/ESIP.jpg'}",18,1,5.88
MPIX,"{'symbol': 'MPIX', 'name': 'Mitra Pedagang Indonesia Tbk.', 'logo': 'https://s3.goapi.io/logo/MPIX.jpg'}",57,3,5.56
BBLD,"{'symbol': 'BBLD', 'name': 'Buana Finance Tbk.', 'logo': 'https://s3.goapi.io/logo/BBLD.jpg'}",580,30,5.45
